Question,Answer,Class
Should I use nested classes in this case?,"I would be a bit reluctant to use nested classes here.  What if you created an abstract base class for a ""multimedia driver"" to handle the back-end stuff (workhorse), and a separate class for the front-end work?  The front-end class could take a pointer/reference to an implemented driver class (for the appropriate media type and situation) and perform the abstract operations on the workhorse structure. My philosophy would be to go ahead and make both structures accessible to the client in a polished way, just under the assumption they would be used in tandem. I would reference something like a QTextDocument in Qt.  You provide a direct interface to the bare metal data handling, but pass the authority along to an object like a QTextEdit to do the manipulation. ",c++
How do I connect to a database and loop over a recordset in C#?,"Very roughly and from memory since I don't have code on this laptop: using (OleDBConnection conn = new OleDbConnection()) {   conn.ConnectionString = ""Whatever connection string"";   using (OleDbCommand cmd = new OleDbCommand())   {     cmd.Connection = conn;     cmd.CommandText = ""Select * from CoolTable"";     using (OleDbDataReader dr = cmd.ExecuteReader())     {       while (dr.Read())       {         // do something like Console.WriteLine(dr[""column name""] as String);       }     }   } } ",c#
"How to get the value of built, encoded ViewState?","Rex, I suspect a good place to start looking is solutions that compress the ViewState -- they're grabbing ViewState on the server before it's sent down to the client and gzipping it. That's exactly where you want to be. Scott Hanselman on ViewState Compression (2005) ViewState Compression with System.IO.Compression (2007) ",c#
How do I delete a file which is locked by another process in C#?,"You can use this program, Handle, to find which process has the lock on your file. It's a command-line tool, so I guess you use the output from that... I'm not sure about finding it programmatically. If deleting the file can wait, you could specify it for deletion when your computer next starts up: Start REGEDT32 (W2K) or REGEDIT (WXP) and navigate to: HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager W2K and WXP W2K:EditAdd Value...Data Type: REG_MULTI_SZValue Name: PendingFileRenameOperationsOK WXP:EditNewMulti-String Valueenter PendingFileRenameOperations In the Data area, enter ""\??\"" + filename to be deleted. LFNs may be entered without being embedded in quotes. To delete C:\Long Directory Name\Long File Name.exe, enter the following data: \??\C:\Long Directory Name\Long File Name.exe Then press OK. The ""destination file name"" is a null (zero) string. It is entered as follows: W2K:EditBinaryselect Data Format: Hexclick at the end of the hex stringenter 0000 (four zeros)OK WXP:Right-click the valuechoose ""Modify Binary Data""click at the end of the hex stringenter 0000 (four zeros)OK Close REGEDT32/REGEDIT and reboot to delete the file. (Shamelessly stolen from some random forum, for posterity's sake.) ",c#
.NET Unit Testing packages?,"I like MbUnit, er, Gallio.  Most importantly to me is having good tools support inside Visual Studio.  For that I use Resharper, which has an MbUnit test runner.  A lot of folks seem to like TestDriven.NET as their test runner as well.",c#
How do you disable browser Autocomplete on web form field / input tag?,"Firefox 30 ignores autocomplete=""off"" for passwords, opting to prompt the user instead whether the password should be stored on the client. Note the following commentary from May 5, 2014:      The password manager always prompts if it wants to save a password. Passwords are not saved without permission from the user.   We are the third browser to implement this change, after IE and Chrome.    According to Mozilla developer documentation the form element attribute autocomplete prevents form data from being cached in older browsers. &lt;input type=""text"" name=""foo"" autocomplete=""off"" /&gt; ",html
How do you pack a visual studio c++ project for release?,You'd be looking to static link (as opposed to dynamically link) I'm not sure how many of the MS redistributables statically link in.,c++
What code analysis tools do you use for your Java projects?,We use FindBugs and JDepend integrated with Ant. We use JUnit but we're not using any coverage tool.  I'm not using it integrated to Rational Application Developer (the IDE I'm using to develop J2EE applications) because I like how neat it looks when you run javac in the Windows console. :P,java
How can I create Prototype Methods (like JavaScript) in C#.Net?,"You need to create an extension method, which requires .NET 3.5. The method needs to be static, in a static class. The first parameter of the method needs to be prefixed with ""this"" in the signature. public static string MyMethod(this string input){    // do things} You can then call it like ""asdfas"".MyMethod();",c#
"How can I Java webstart multiple, dependent, native libraries?","I'm not sure if this would be handled exactly the same way for webstart, but we ran into this situation in a desktop application when dealing with a set of native libraries (dlls in our case). Loading libA before libB should work, unless one of those libraries has a dependency that is unaccounted for and not in the path. My understanding is that once it gets to a system loadLibrary call (i.e. Java has found the library in its java.library.path and is now telling the OS to load it) - it is completely dependent on the operating system to find any dependent libraries, because at that point it is the operating system that is loading the library for the process, and the OS only knows how to look in the system path. That seems hard to set in the case of a Webstart app, but there is a way around this that does not involve static compiling. You may be able to shuffle where your libraries are - I am unsure  If you use a custom classloader, you can override loadLibrary and findLibrary so that it can locate your libraries from within a jar in your classpath, and if you also make it aware of your native library dependencies (i.e. libB depends on libA depends on libX, then when loading libB you can catch yourself and ensure you load libA first, and in checking that notice and load libX first. Then the OS doesn't try to find a library that isn't in your path. It's klunky and a bit painful, but ensuring Java finds them and loads them all in the correct order can work.",java
